x,y
1079.46,563.69
1082.70,334.75
1080.37,447.78
625.74,289.91
620.06,409.10
499.99,398.97
963.11,792.91
1077.72,797.04
852.38,547.48
506.82,279.29
484.57,642.82
848.45,667.50
979.63,101.07
635.77,60.60
385.71,268.88
856.50,428.73
1078.78,679.40
601.87,775.54
748.93,186.36
729.15,660.21
738.82,418.73
492.53,520.82
512.44,162.25
867.24,87.31
615.00,530.18
631.73,174.26
753.41,73.09
734.44,539.24
969.91,438.37
743.87,301.47
863.37,198.23
964.88,674.15
377.62,390.15
858.82,312.44
476.73,767.36
966.85,557.40
972.60,322.90
608.26,651.81
976.09,210.93
1085.66,224.71
369.58,510.17
845.39,788.21
392.31,151.17
724.80,782.41
517.90,48.10
361.13,633.23
1088.74,115.29
1169.59,874.77
354.32,756.68
