x,y
23.13,84.88
25.70,192.10
27.00,261.50
57.07,191.55
78.38,90.33
115.41,94.16
164.38,183.58
218.71,26.79
229.00,297.61
369.88,122.12
404.13,243.16
478.38,133.42
553.10,238.60
716.74,303.76
829.97,189.60
834.75,302.71
187.90,407.86
401.54,408.98
434.25,364.71
471.05,414.14
832.50,417.00
13.31,548.57
78.24,770.68
216.12,641.75
228.50,528.68
293.08,726.54
468.00,765.50
492.50,783.00
520.90,727.60
529.16,625.84
605.50,690.00
830.97,720.07
835.33,596.39
943.08,674.42
262.71,949.25
375.55,874.93
403.41,848.48
476.84,896.23
499.67,964.67
586.00,990.00
623.07,843.21
819.19,947.89
850.50,909.50
839.45,1060.93
369.33,1148.33
456.82,1172.95
484.92,1137.30
807.68,1175.68
825.44,1264.88
