x,y
1.83,51.62
938.52,308.36
226.00,41.00
23.50,85.00
78.50,90.00
115.40,93.60
309.00,116.00
478.50,133.00
302.43,178.89
352.27,190.30
472.51,190.41
117.05,185.42
709.13,194.04
230.72,189.30
834.10,190.20
592.50,192.55
1.00,192.00
19.00,193.00
674.00,229.00
397.50,246.00
27.00,261.00
350.12,299.88
107.45,296.83
716.88,303.00
225.67,300.33
469.00,300.80
592.88,304.25
352.00,361.00
434.00,365.00
379.00,384.00
221.23,412.16
348.18,413.94
186.50,407.00
598.52,415.57
401.00,409.00
718.35,415.55
103.50,413.44
474.40,417.40
839.05,418.37
252.33,426.83
376.55,436.45
344.69,529.53
469.47,531.32
96.61,529.16
595.68,533.36
719.88,534.50
219.80,530.00
843.80,535.40
13.77,547.92
429.00,553.00
427.00,589.00
535.00,608.00
427.00,609.00
333.00,611.00
528.60,625.60
611.00,631.00
721.91,651.96
215.96,649.66
342.59,649.88
469.18,651.53
597.78,653.48
90.80,648.92
847.37,654.97
0.50,651.00
943.40,674.60
418.00,678.00
605.50,690.00
529.00,692.00
298.50,704.50
831.30,716.00
413.70,719.43
293.00,730.00
943.00,736.00
392.00,740.00
340.53,771.74
213.13,771.15
597.50,775.95
469.67,773.72
723.01,775.66
848.95,777.39
85.91,772.59
376.00,780.50
311.00,788.00
381.00,817.00
489.00,825.00
703.00,861.00
376.00,875.00
210.45,893.25
338.39,895.05
473.36,892.18
597.00,896.89
723.20,897.52
272.00,890.00
848.20,899.60
269.17,920.17
819.71,944.57
815.58,1017.51
839.00,1060.50
463.50,1080.00
811.57,1084.57
810.61,1130.04
839.00,1126.00
953.00,1126.00
927.06,1147.78
485.00,1137.00
688.00,1185.00
806.00,1197.29
712.59,1216.06
824.00,1225.00
800.00,1226.00
799.00,1256.36
